         73528744 function calls (68824215 primitive calls) in 208.417 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12862    0.048    0.000    2.267    0.000 parser.py:271(_parse_multiformat)
     7317    0.048    0.000    0.084    0.000 {method 'close' of '_io.BufferedReader' objects}
   170321    0.048    0.000    0.048    0.000 {method 'done' of '_asyncio.Future' objects}
    29214    0.048    0.000    0.048    0.000 {method 'split' of 'str' objects}
     3712    0.047    0.000    0.520    0.000 binance.py:86(_handle_depth)
   105356    0.046    0.000    0.046    0.000 queues.py:96(empty)
    26014    0.046    0.000    0.046    0.000 {built-in method zlib.crc32}
    12865    0.045    0.000    0.045    0.000 {method 'finditer' of 're.Pattern' objects}
     2311    0.044    0.000    0.319    0.000 okex_spot.py:35(dispatch_ws_msg)
     7317    0.044    0.000    0.062    0.000 __init__.py:244(detect_encoding)
    12862    0.043    0.000    0.077    0.000 locales.py:10(get_locale)
    14515    0.042    0.000    0.042    0.000 {method 'update' of 'dict' objects}
      920    0.039    0.000    0.159    0.000 thread.py:145(submit)
     7317    0.039    0.000    0.094    0.000 _compression.py:39(__init__)
     1683    0.039    0.000    0.039    0.000 depth.py:186(<listcomp>)
      694    0.039    0.000    0.045    0.000 bitfinex.py:168(__gen_funding_trades)
    46768    0.038    0.000    0.038    0.000 queues.py:100(full)
    29876    0.038    0.000    0.038    0.000 operations.py:27(__init__)
    46768    0.038    0.000    0.038    0.000 locks.py:274(clear)
     1051    0.037    0.000    1.093    0.001 bitflyer.py:56(<listcomp>)
    72687    0.035    0.000    0.035    0.000 enum.py:619(value)
     4989    0.035    0.000    0.035    0.000 bitmex.py:95(<listcomp>)
     2094    0.035    0.000    0.053    0.000 {built-in method _heapq.heapify}
    13078    0.035    0.000    0.035    0.000 {method 'split' of 're.Pattern' objects}
     1301    0.035    0.000    0.112    0.000 okex_future.py:90(_handle_ticker)
   180068    0.034    0.000    0.034    0.000 {method 'start' of 're.Match' objects}
     2219    0.034    0.000    0.374    0.000 okex_future.py:38(dispatch_ws_msg)
    25884    0.034    0.000    0.237    0.000 re.py:185(sub)
     7317    0.034    0.000    0.090    0.000 gzip.py:493(_read_eof)
     4989    0.033    0.000    0.033    0.000 bitmex.py:91(<listcomp>)
     1456    0.032    0.000    0.097    0.000 binance.py:70(_handle_trade)
    12864    0.032    0.000    0.089    0.000 re.py:180(search)
      157    0.031    0.000    0.031    0.000 {built-in method posix.listdir}
    12862    0.031    0.000    0.091    0.000 re.py:205(split)
     5140    0.031    0.000    0.053    0.000 bitfinex.py:196(__gen_kline)
      921    0.030    0.000    0.053    0.000 collection.py:75(__init__)
