         466104169 function calls (439067109 primitive calls) in 1497.898 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29089    0.287    0.000    1.211    0.000 core.py:367(__init__)
  1674274    0.274    0.000    0.274    0.000 {method 'start' of 're.Match' objects}
    14565    0.270    0.000    0.983    0.000 binance.py:70(_handle_trade)
    62224    0.267    0.000    0.626    0.000 {method 'close' of '_io.BufferedReader' objects}
   291279    0.262    0.000    0.262    0.000 locks.py:274(clear)
   155883    0.262    0.000    0.262    0.000 locks.py:262(set)
    62224    0.260    0.000    0.689    0.000 gzip.py:493(_read_eof)
   732553    0.251    0.000    0.251    0.000 queues.py:96(empty)
   119733    0.238    0.000    0.238    0.000 {method 'copy' of 'dict' objects}
   189416    0.233    0.000  250.604    0.001 __init__.py:216(keep_connect)
   124448    0.232    0.000    0.232    0.000 {built-in method _struct.unpack}
    62224    0.216    0.000    0.498    0.000 _compression.py:39(__init__)
    29089    0.216    0.000    0.408    0.000 _base.py:388(add_done_callback)
   119591    0.214    0.000    0.734    0.000 re.py:205(split)
    58179    0.213    0.000    0.272    0.000 common.py:641(__init__)
    29087    0.213    0.000    1.262    0.000 __init__.py:66(_set_state)
    89590    0.204    0.000    0.625    0.000 operations.py:141(__init__)
   119616    0.202    0.000    0.877    0.000 arrow.py:415(naive)
    29089    0.201    0.000    1.562    0.000 core.py:211(__getitem__)
   341032    0.197    0.000    0.197    0.000 {method 'read' of '_io.BytesIO' objects}
    87279    0.191    0.000    0.285    0.000 metaprogramming.py:284(create_class_with_framework)
    25474    0.189    0.000    2.158    0.000 selector_events.py:122(_read_from_self)
   290971    0.186    0.000    0.242    0.000 queues.py:53(_get)
    92136    0.182    0.000    0.435    0.000 gzip.py:489(_add_read_data)
    92039    0.180    0.000    0.290    0.000 __init__.py:1310(debug)
   239234    0.178    0.000    0.279    0.000 util.py:43(isstr)
    29089    0.173    0.000    0.579    0.000 _base.py:312(__init__)
